"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
220.2,2177.1,86.3,2512.5,"2024-06-20",728.8,"2469N2208406V","69170",38.8,5.1,"appartement",474.7,149.1,0,"C",33.74786
326.7,NA,38.3,2598.4,"2024-03-26",516.3,"2469N1077474L","69170",101.5,30.3,"maison",121,58.8,0,"A",33.74786
109.7,2177.1,72,1983.7,"2024-06-20",575.4,"2469N2208399O","69170",32.3,4.2,"appartement",437.4,141.2,0,"C",33.74786
200.9,2177.1,87.6,2458.7,"2024-06-20",713.2,"2469N2208395K","69170",39.3,5.2,"appartement",477.9,143.8,0,"C",33.74786
138.6,2177.1,72,2083.2,"2024-06-20",604.3,"2469N2208370L","69170",32.3,4.2,"appartement",437.4,148.3,0,"C",33.74786
109.7,2177.1,72,1983.7,"2024-06-20",575.4,"2469N2208383Y","69170",32.3,4.2,"appartement",437.4,141.2,0,"C",33.74786
200.9,2177.1,87.6,2458.7,"2024-06-20",713.2,"2469N2208381W","69170",39.3,5.2,"appartement",477.9,143.8,0,"C",33.74786
549,114.7,46,3418.1,"2024-09-16",806,"2469N3215806Z","69170",114.7,0,"maison",184,68.5,0,"A",33.74786
272,NA,62,2304,"2024-06-25",652,"2469N2285485K","69170",NA,43,"maison",275,58.8,0,"A",33.74786
282.8,NA,36.4,2430,"2024-03-26",490.8,"2469N1079718T","69170",100,34.3,"maison",137.3,55.8,0,"A",33.74786
267,68.2,27,2127.8,"2024-05-23",448,"2469N1811996H","69170",68.2,6,"maison",128,71.7,0,"B",33.74786
307.4,NA,44.7,2555,"2024-04-10",509.7,"2469N1295340X","69170",131.7,34.2,"maison",123.5,44.6,0,"A",33.74786
